step,normal,SAR
0,916,14
1,904,4
2,932,2
3,927,1
4,927,2
5,935,0
6,863,0
7,913,2
8,902,5
9,929,0
10,925,0
11,933,2
12,939,0
13,863,3
14,915,1
15,905,0
16,930,1
17,922,1
18,931,1
19,936,1
20,865,2
21,915,1
22,902,3
23,928,1
24,925,1
25,930,0
26,936,2
27,867,0
28,913,3
29,901,4
30,930,3
31,922,3
32,929,1
33,936,2
34,864,1
35,914,0
36,903,4
37,930,0
38,924,1
39,930,3
40,935,7
41,862,3
42,917,2
43,904,3
44,929,2
45,925,1
46,930,1
47,935,2
48,861,1
49,914,3
50,902,2
51,929,2
52,922,2
53,930,0
54,937,5
55,864,1
56,913,1
57,900,1
58,930,0
59,922,3
60,930,5
61,935,3
62,863,0
63,918,6
64,902,1
65,929,2
66,926,3
67,932,0
68,935,2
69,867,0
70,916,2
71,906,4
72,928,1
73,925,1
74,929,0
75,935,0
76,862,0
77,915,0
78,902,1
79,929,2
80,922,2
81,931,0
82,936,1
83,865,0
84,915,5
85,905,0
86,929,3
87,922,1
88,932,2
89,934,1
90,863,3
91,917,1
92,904,1
93,929,2
94,926,3
95,930,2
96,936,0
97,862,2
98,916,2
99,903,0
100,929,3
101,924,0
102,931,0
103,936,0
104,861,1
105,917,1
106,901,1
107,928,0
108,922,1
109,931,0
110,937,3
111,867,1
112,914,2
113,902,0
114,930,0
115,923,0
116,930,0
117,937,1
118,862,4
119,918,2
120,904,1
121,929,0
122,925,1
123,929,2
124,936,0
125,862,2
126,917,2
127,902,0
128,928,0
129,923,3
130,929,1
131,936,0
132,862,2
133,915,0
134,902,1
135,930,1
136,923,3
137,929,0
138,941,0
139,864,0
140,918,0
141,904,2
142,932,1
143,931,0
144,933,0
145,937,0
146,866,0
147,918,0
148,905,2
149,931,3
150,927,1
151,937,0
152,938,0
153,863,1
154,915,3
155,903,1
156,927,4
157,925,1
158,930,0
159,938,3
160,864,1
161,914,1
162,902,2
163,932,0
164,922,1
165,931,1
166,935,0
167,864,0
168,916,0
169,903,1
170,934,5
171,925,3
172,933,0
173,935,3
174,863,4
175,917,3
176,904,5
177,931,0
178,923,1
179,930,1
180,935,1
181,865,4
182,916,1
183,900,1
184,931,0
185,921,1
186,934,1
187,937,3
188,867,0
189,916,0
190,907,0
191,929,2
192,923,1
193,931,1
194,937,0
195,865,0
196,914,1
197,902,1
198,927,1
199,925,1
200,932,0
201,936,0
202,862,1
203,916,0
204,901,3
205,931,0
206,924,0
207,929,0
208,935,0
209,865,0
210,920,1
211,906,1
212,931,0
213,924,0
214,935,1
215,938,4
216,866,3
217,919,0
218,905,1
219,933,1
220,932,3
221,936,0
222,940,1
223,864,2
224,915,0
225,904,2
226,930,0
227,927,1
228,932,0
229,936,2
230,865,0
231,917,0
232,902,1
233,932,0
234,923,0
235,931,0
236,934,0
237,863,2
238,915,2
239,904,0
240,929,2
241,924,0
242,932,3
243,936,1
244,863,0
245,914,1
246,903,4
247,929,1
248,922,0
249,928,1
250,937,0
251,865,0
252,918,0
253,900,0
254,933,0
255,925,0
256,938,0
257,940,0
258,866,0
259,919,1
260,907,0
261,935,0
262,928,1
263,937,0
264,942,1
265,870,0
266,918,0
267,901,1
268,929,0
269,927,0
270,932,1
271,934,1
272,864,2
273,918,1
274,904,0
275,930,0
276,923,0
277,930,0
278,934,0
279,865,0
280,917,1
281,904,1
282,932,0
283,927,2
284,929,0
285,934,0
286,863,0
287,914,0
288,902,0
289,931,0
290,923,0
291,931,0
292,937,0
293,863,0
294,915,1
295,903,0
296,928,0
297,922,3
298,930,2
299,935,0
300,863,2
301,915,2
302,901,1
303,928,1
304,922,1
305,930,1
306,940,0
307,864,0
308,918,0
309,901,0
310,931,0
311,928,1
312,932,0
313,937,0
314,867,0
315,918,0
316,906,2
317,934,0
318,926,0
319,935,0
320,940,0
321,867,1
322,919,1
323,907,0
324,934,1
325,926,2
326,939,0
327,939,0
328,867,2
329,918,0
330,905,1
331,934,1
332,926,1
333,933,1
334,934,2
335,863,1
336,918,0
337,905,1
338,929,0
339,923,2
340,936,3
341,934,2
342,866,0
343,917,1
344,903,0
345,928,0
346,924,0
347,932,0
348,935,0
349,868,0
350,916,0
351,901,1
352,928,0
353,924,0
354,930,0
355,935,0
356,863,2
357,914,1
358,902,0
359,930,0
360,924,1
361,930,0
362,934,0
363,864,0
364,914,0
365,902,0
366,929,1
367,924,2
368,928,0
369,936,1
370,862,0
371,916,0
372,903,1
373,935,2
374,926,0
375,936,4
376,939,5
377,866,0
378,916,5
379,905,2
380,930,1
381,928,1
382,934,1
383,942,0
384,868,1
385,927,0
386,914,2
387,938,0
388,933,0
389,938,0
390,945,0
391,871,1
392,924,0
393,908,0
394,934,0
395,927,0
396,940,1
397,943,0
398,869,0
399,916,0
400,903,0
401,930,0
402,927,0
403,931,0
404,936,0
405,865,0
406,916,1
407,904,0
408,931,1
409,923,0
410,930,1
411,936,0
412,863,0
413,914,0
414,902,0
415,935,0
416,930,0
417,936,0
418,943,0
419,872,0
420,924,0
421,912,0
422,940,0
423,936,0
424,942,0
425,944,0
426,871,0
427,913,0
428,909,0
429,933,0
430,929,0
431,933,0
432,942,0
433,868,0
434,917,0
435,901,0
436,929,0
437,922,0
438,932,0
439,937,0
440,863,0
441,916,0
442,902,0
443,928,0
444,922,0
445,929,0
446,939,0
447,863,0
448,915,0
449,907,0
450,930,1
451,923,0
452,929,0
453,934,0
454,865,0
455,916,0
456,902,0
457,931,7
458,923,1
459,928,0
460,935,7
461,864,1
462,916,0
463,903,0
464,929,0
465,922,1
466,930,2
467,936,2
468,863,3
469,914,1
470,903,0
471,929,1
472,924,0
473,929,0
474,933,2
475,864,3
476,917,4
477,902,2
478,928,1
479,927,0
480,930,1
481,940,0
482,863,1
483,920,0
484,908,0
485,929,0
486,920,0
487,933,0
488,937,0
489,865,0
490,917,0
491,903,0
492,931,1
493,922,0
494,931,0
495,935,0
496,864,1
497,916,0
498,903,0
499,930,0
500,924,0
501,933,0
502,937,0
503,865,2
504,915,1
505,902,0
506,926,0
507,923,1
508,930,2
509,934,2
510,862,5
511,915,1
512,901,2
513,928,4
514,923,1
515,931,2
516,934,3
517,863,0
518,915,1
519,906,1
520,928,2
521,922,0
522,928,0
523,934,0
524,862,0
525,916,0
526,903,2
527,928,2
528,922,0
529,931,0
530,933,2
531,865,2
532,916,1
533,902,1
534,928,4
535,922,3
536,931,1
537,933,3
538,863,3
539,916,1
540,904,0
541,933,0
542,921,1
543,929,0
544,938,0
545,862,0
546,915,0
547,900,0
548,927,0
549,921,1
550,927,2
551,935,0
552,864,1
553,919,0
554,905,2
555,932,2
556,930,0
557,932,1
558,940,1
559,864,0
560,923,3
561,907,1
562,930,0
563,928,1
564,931,0
565,934,0
566,861,0
567,916,0
568,901,0
569,929,0
570,922,0
571,933,0
572,937,0
573,862,0
574,916,0
575,901,0
576,926,0
577,922,0
578,928,0
579,936,0
580,860,0
581,919,0
582,904,0
583,929,0
584,923,1
585,931,0
586,938,3
587,866,0
588,917,0
589,905,2
590,929,1
591,926,2
592,932,7
593,939,3
594,866,1
595,919,3
596,903,4
597,930,0
598,925,2
599,929,1
600,941,1
601,861,1
602,919,1
603,907,0
604,928,1
605,922,1
606,927,0
607,936,0
608,860,0
609,913,0
610,897,1
611,923,3
612,922,0
613,924,1
614,934,1
615,861,2
616,912,0
617,894,0
618,925,1
619,923,1
620,925,0
621,933,0
622,859,3
623,912,4
624,892,0
625,919,1
626,920,0
627,925,1
628,930,0
629,854,2
630,910,0
631,892,1
632,919,0
633,911,0
634,917,1
635,931,0
636,855,0
637,911,0
638,885,0
639,915,0
640,912,0
641,911,0
642,931,0
643,854,0
644,907,0
645,885,0
646,911,1
647,908,0
648,904,0
649,933,0
650,851,0
651,898,0
652,878,0
653,904,0
654,899,0
655,899,0
656,924,0
657,844,0
658,889,0
659,866,0
660,899,0
661,887,2
662,894,1
663,923,0
664,840,2
665,880,1
666,863,0
667,891,0
668,885,0
669,882,0
670,916,0
671,830,0
672,877,0
673,852,0
674,884,0
675,867,0
676,881,0
677,908,0
678,823,0
679,869,0
680,843,0
681,876,0
682,855,0
683,871,0
684,900,0
685,819,0
686,858,0
687,836,0
688,870,0
689,852,0
690,871,0
691,889,0
692,812,0
693,848,0
694,829,0
695,858,0
696,843,2
697,857,0
698,885,0
699,803,0
700,840,1
701,821,0
702,854,0
703,837,1
704,854,3
705,880,0
706,801,0
707,836,4
708,812,1
709,843,0
710,826,3
711,842,1
712,868,0
713,787,0
714,819,0
715,803,0
716,833,0
717,819,0
718,838,0
719,862,0
